Region,County,,,,,,,,,
Capital,albany,,,,,,,,,
Southern,allegany,,,,,,,,,
Southern,broome,,,,,,,,,
Southern,cattaraugus,,,,,,,,,
Central,cayuga,,,,,,,,,
Western,chautauqua,,,,,,,,,
Southern,chemung,,,,,,,,,
Southern,chenango,,,,,,,,,
North Country,clinton,,,,,,,,,
Capital,columbia,,,,,,,,,
Central,cortland,,,,,,,,,
Southern,delaware,,,,,,,,,
Mid-Hudson,dutchess,,,,,,,,,
Western,erie,,,,,,,,,
North Country,essex,,,,,,,,,
North Country,franklin,,,,,,,,,
Capital,fulton,,,,,,,,,
Western,genesee,,,,,,,,,
Capital,greene,,,,,,,,,
North Country,hamilton,,,,,,,,,
Mohawk Valley,herkimer,,,,,,,,,
North Country,jefferson,,,,,,,,,
North Country,lewis,,,,,,,,,
Finger Lakes,livingston,,,,,,,,,
Central,madison,,,,,,,,,
Finger Lakes,monroe,,,,,,,,,
Capital,montgomery,,,,,,,,,
Long Island,nassau,,,,,,,,,
Western,niagara,,,,,,,,,
Mohawk Valley,oneida,,,,,,,,,
Central,onondaga,,,,,,,,,
Finger Lakes,ontario,,,,,,,,,
Mid-Hudson,orange,,,,,,,,,
Western,orleans,,,,,,,,,
Central,oswego,,,,,,,,,
Southern,otsego,,,,,,,,,
Mid-Hudson,putnam,,,,,,,,,
Capital,rensselaer,,,,,,,,,
Mid-Hudson,rockland,,,,,,,,,
North Country,st. lawrence,,,,,,,,,
Capital,saratoga,,,,,,,,,
Capital,schenectady,,,,,,,,,
Southern,schoharie,,,,,,,,,
Southern,schuyler,,,,,,,,,
Finger Lakes,seneca,,,,,,,,,
Southern,steuben,,,,,,,,,
Long Island,suffolk,,,,,,,,,
Mid-Hudson,sullivan,,,,,,,,,
Southern,tioga,,,,,,,,,
Finger Lakes,tompkins,,,,,,,,,
Mid-Hudson,ulster,,,,,,,,,
Capital,warren,,,,,,,,,
Capital,washington,,,,,,,,,
Finger Lakes,wayne,,,,,,,,,
Mid-Hudson,westchester,,,,,,,,,
Western,wyoming,,,,,,,,,
Southern,yates,,,,,,,,,
