Year,County,% Food Insecure,Population,# Uninsured,# Uninsured.1,Homicide Rate
2021,albany,10.2,305506.0,9023.0,1196.0,2.8298674416
2021,allegany,12.8,46091.0,1637.0,300.0,
2021,broome,12.7,190488.0,6860.0,870.0,2.7154568206
2021,cattaraugus,12.8,76117.0,3365.0,579.0,
2021,cayuga,10.7,76576.0,2448.0,408.0,
2021,chautauqua,13.0,126903.0,4659.0,794.0,1.9795359968
2021,chemung,12.1,83456.0,2362.0,353.0,3.1512465668
2021,chenango,12.4,47207.0,1624.0,248.0,
2021,clinton,11.9,80485.0,2733.0,381.0,
2021,columbia,10.2,59461.0,2318.0,311.0,
2021,cortland,11.1,47581.0,1400.0,222.0,
2021,delaware,12.3,44135.0,1633.0,244.0,
2021,dutchess,8.7,294218.0,10523.0,1354.0,2.2252042109
2021,erie,11.4,918702.0,29091.0,3837.0,6.2012869531
2021,essex,10.3,36885.0,1085.0,148.0,
2021,franklin,12.9,50022.0,2177.0,320.0,
2021,fulton,12.4,53383.0,1922.0,241.0,
2021,genesee,10.2,57280.0,1801.0,285.0,
2021,greene,10.9,47188.0,1710.0,233.0,
2021,hamilton,11.8,4416.0,171.0,21.0,
2021,herkimer,11.9,61319.0,2064.0,333.0,
2021,jefferson,12.7,109834.0,3729.0,646.0,1.6128552003
2021,lewis,11.4,26296.0,922.0,188.0,
2021,livingston,9.9,62914.0,1850.0,286.0,
2021,madison,9.5,70941.0,2229.0,414.0,
2021,monroe,11.3,741770.0,22443.0,3419.0,5.5654624612
2021,montgomery,13.6,49221.0,1826.0,310.0,
2021,nassau,5.3,1356924.0,45814.0,6351.0,1.638930224
2021,niagara,11.4,209281.0,6646.0,900.0,3.0339273988
2021,oneida,12.0,228671.0,7636.0,1183.0,3.4573748893
2021,onondaga,11.0,460528.0,15538.0,2117.0,5.6766314562
2021,ontario,8.9,109777.0,3202.0,543.0,
2021,orange,9.0,384940.0,15091.0,2554.0,2.5962640137
2021,orleans,11.8,40352.0,1455.0,218.0,
2021,oswego,12.8,117124.0,4457.0,578.0,1.3178213777
2021,otsego,10.9,59493.0,2104.0,284.0,2.3647370412
2021,putnam,5.8,98320.0,3020.0,463.0,
